customer_id,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Value
63,69,3,4156.66,2,1,2,5,Low
64,4,5,4111.12,5,2,2,9,Medium
65,137,6,8056.469999999999,1,3,4,8,Medium
66,44,4,5199.48,3,1,2,6,Low
67,117,5,5304.15,1,2,3,6,Low
68,85,3,5127.98,2,1,2,5,Low
69,21,6,8395.75,4,3,4,11,Medium
70,5,5,4801.11,5,2,2,9,Medium
71,132,1,1415.01,1,1,1,3,Low
72,23,5,4360.42,4,2,2,8,Medium
73,169,6,5265.87,1,3,3,7,Low
74,29,3,2985.64,4,1,1,6,Low
75,61,8,7130.63,2,4,4,10,Medium
76,2,8,7425.04,5,4,4,13,High
77,102,3,2964.73,1,1,1,3,Low
78,212,2,1139.12,1,1,1,3,Low
79,44,6,6761.43,3,3,4,10,Medium
80,29,10,12564.82,4,5,5,14,High
81,5,4,4421.7,5,1,2,8,Medium
82,79,5,5293.91,2,2,3,7,Low
83,81,6,4464.65,2,3,2,7,Low
84,29,7,5464.650000000001,4,4,3,11,Medium
85,38,6,3158.6299999999997,3,3,1,7,Low
86,1,9,7319.35,5,5,4,14,High
87,19,9,7994.73,4,5,4,13,High
88,75,6,5550.83,2,3,3,8,Medium
89,5,9,12741.44,5,5,5,15,High
90,31,7,7703.58,4,4,4,12,High
91,10,8,8066.4400000000005,5,4,4,13,High
92,35,3,5098.43,3,1,2,6,Low
93,80,3,5276.129999999999,2,1,3,6,Low
94,34,7,8305.77,3,4,4,11,Medium
95,39,4,5049.799999999999,3,1,2,6,Low
96,71,4,3874.84,2,1,2,5,Low
97,103,8,8895.95,1,4,5,10,Medium
98,123,5,6180.05,1,2,3,6,Low
99,3,9,8279.06,5,5,4,14,High
100,12,2,2748.2,5,1,1,7,Low
101,9,4,4309.82,5,1,2,8,Medium
102,43,7,6659.22,3,4,3,10,Medium
103,50,5,4909.84,3,2,2,7,Low
104,65,9,8985.64,2,5,5,12,High
105,90,4,6234.35,2,1,3,6,Low
106,2,3,2906.16,5,1,1,7,Low
107,82,4,3345.1000000000004,2,1,1,4,Low
108,11,3,3556.66,5,1,1,7,Low
109,9,10,10661.51,5,5,5,15,High
110,15,7,7788.71,5,4,4,13,High
111,148,4,4873.0599999999995,1,1,2,4,Low
112,48,6,9059.89,3,3,5,11,Medium
113,176,5,4240.1900000000005,1,2,2,5,Low
114,71,4,3233.0,2,1,1,4,Low
115,15,8,8398.18,5,4,4,13,High
116,13,8,5663.92,5,4,3,12,High
117,6,10,12856.83,5,5,5,15,High
118,70,5,5319.51,2,2,3,7,Low
119,31,4,5217.66,4,1,2,7,Low
120,130,3,3118.34,1,1,1,3,Low
121,112,4,4327.44,1,1,2,4,Low
122,9,5,6533.389999999999,5,2,3,10,Medium
123,192,4,5337.79,1,1,3,5,Low
124,3,7,8272.15,5,4,4,13,High
125,84,9,6537.76,2,5,3,10,Medium
126,12,3,3448.12,5,1,1,7,Low
127,24,10,9949.62,4,5,5,14,High
128,138,4,3679.75,1,1,1,3,Low
129,179,4,4090.48,1,1,2,4,Low
130,77,2,3340.42,2,1,1,4,Low
131,206,6,8745.28,1,3,5,9,Medium
132,8,6,7365.93,5,3,4,12,High
133,27,5,3164.55,4,2,1,7,Low
134,15,6,7170.95,5,3,4,12,High
135,116,6,4966.27,1,3,2,6,Low
136,21,8,9406.85,4,4,5,13,High
137,28,5,3507.0499999999997,4,2,1,7,Low
138,65,7,4927.35,2,4,2,8,Medium
139,27,9,10638.89,4,5,5,14,High
140,4,6,7649.34,5,3,4,12,High
141,160,3,4053.9800000000005,1,1,2,4,Low
142,5,11,12474.74,5,5,5,15,High
143,14,4,4689.21,5,1,2,8,Medium
144,7,8,8961.14,5,4,5,14,High
145,29,7,8149.19,4,4,4,12,High
146,195,2,1973.29,1,1,1,3,Low
147,35,6,8079.09,3,3,4,10,Medium
148,44,5,5808.83,3,2,3,8,Medium
149,19,5,6349.1900000000005,4,2,3,9,Medium
150,76,4,3630.96,2,1,1,4,Low
151,1,8,13047.54,5,5,5,15,High
152,159,2,2941.37,1,1,1,3,Low
153,65,7,7808.16,2,4,4,10,Medium
154,24,6,3558.31,4,3,1,8,Medium
155,9,3,4008.51,5,1,2,8,Medium
156,17,5,4831.58,4,2,2,8,Medium
157,136,3,2041.86,1,1,1,3,Low
158,66,6,7221.05,2,3,4,9,Medium
159,67,6,6016.32,2,3,3,8,Medium
160,94,2,3024.58,2,1,1,4,Low
161,160,1,1148.64,1,1,1,3,Low
162,99,3,3317.47,2,1,1,4,Low
163,115,2,3089.24,1,1,1,3,Low
164,199,3,2583.85,1,1,1,3,Low
165,9,9,9893.75,5,5,5,15,High
166,64,8,9737.72,2,5,5,12,High
167,15,9,9888.61,5,5,5,15,High
168,137,9,10135.25,1,5,5,11,Medium
169,62,3,2065.08,2,1,1,4,Low
170,101,3,3125.18,1,1,1,3,Low
171,19,9,9865.380000000001,4,5,5,14,High
172,12,8,10150.14,5,5,5,15,High
173,16,9,14061.48,4,5,5,14,High
174,12,10,12893.57,5,5,5,15,High
175,65,5,6008.03,2,2,3,7,Low
176,23,5,6733.15,4,2,4,10,Medium
177,38,11,11184.03,3,5,5,13,High
178,33,4,3504.09,4,1,1,6,Low
179,41,3,3168.84,3,1,1,5,Low
180,12,7,7970.57,5,4,4,13,High
181,51,6,5663.9,3,3,3,9,Medium
182,14,7,9279.01,5,4,5,14,High
183,103,6,5947.98,1,3,3,7,Low
184,33,3,3734.88,4,1,1,6,Low
185,9,7,9254.279999999999,5,4,5,14,High
186,24,6,5550.85,4,3,3,10,Medium
187,15,7,6898.79,5,4,4,13,High
188,16,6,5126.07,4,3,2,9,Medium
189,4,5,8633.69,5,2,4,11,Medium
190,208,3,3071.06,1,1,1,3,Low
191,106,1,1065.03,1,1,1,3,Low
192,80,4,3836.29,2,1,2,5,Low
193,25,5,7368.36,4,2,4,10,Medium
194,109,3,4313.530000000001,1,1,2,4,Low
195,1,7,12479.46,5,4,5,14,High
196,147,8,6346.61,1,5,3,9,Medium
197,28,9,8456.02,4,5,4,13,High
198,59,9,11648.85,3,5,5,13,High
199,16,4,4323.860000000001,4,1,2,7,Low
200,8,9,11117.36,5,5,5,15,High
201,29,7,8208.64,4,4,4,12,High
202,19,3,2511.82,4,1,1,6,Low
203,12,5,4376.26,5,2,2,9,Medium
204,28,8,11444.0,4,5,5,14,High
205,53,9,6904.88,3,5,4,12,High
206,78,4,5633.8099999999995,2,1,3,6,Low
207,280,3,4448.26,1,1,2,4,Low
208,28,5,5158.98,4,2,2,8,Medium
209,108,5,6093.4800000000005,1,2,3,6,Low
210,23,6,8805.2,4,3,5,12,High
211,40,9,10073.76,3,5,5,13,High
212,188,2,2429.8,1,1,1,3,Low
213,29,11,13555.56,4,5,5,14,High
214,57,6,6834.46,3,3,4,10,Medium
215,4,8,8485.16,5,5,4,14,High
216,17,5,5830.97,4,2,3,9,Medium
217,5,8,11465.25,5,5,5,15,High
218,15,5,4232.68,5,2,2,9,Medium
219,41,7,7915.57,3,4,4,11,Medium
220,16,6,7458.69,4,3,4,11,Medium
221,19,6,6729.84,4,3,4,11,Medium
222,21,2,2626.81,4,1,1,6,Low
223,53,7,9805.5,3,4,5,12,High
224,2,5,4216.53,5,2,2,9,Medium
225,38,3,2416.13,3,1,1,5,Low
226,117,2,1639.95,1,1,1,3,Low
227,27,5,5589.13,4,2,3,9,Medium
228,78,5,5178.17,2,2,2,6,Low
229,61,5,4473.07,2,2,2,6,Low
230,37,10,10591.710000000001,3,5,5,13,High
231,46,4,5338.64,3,1,3,7,Low
232,142,6,4132.44,1,3,2,6,Low
233,18,6,5218.62,4,3,2,9,Medium
234,12,10,11557.99,5,5,5,15,High
235,3,11,9629.61,5,5,5,15,High
236,7,4,5255.34,5,1,3,9,Medium
237,27,8,7156.79,4,5,4,13,High
238,108,5,5838.6,1,2,3,6,Low
239,2,9,12986.130000000001,5,5,5,15,High
240,89,5,4449.22,2,2,2,6,Low
241,48,4,3855.87,3,1,2,6,Low
242,132,7,7798.25,1,4,4,9,Medium
243,75,6,8818.380000000001,2,3,5,10,Medium
244,195,4,6290.66,1,1,3,5,Low
245,13,5,4855.26,5,2,2,9,Medium
246,28,9,9724.98,4,5,5,14,High
247,113,7,9778.37,1,4,5,10,Medium
248,135,6,8368.65,1,3,4,8,Medium
249,48,9,6569.14,3,5,3,11,Medium
250,32,7,9866.27,4,4,5,13,High
251,39,4,3425.0,3,1,1,5,Low
252,63,5,5565.48,2,2,3,7,Low
253,18,4,2189.85,4,1,1,6,Low
254,42,7,9801.07,3,4,5,12,High
255,58,12,14949.91,3,5,5,13,High
256,1,5,5861.16,5,2,3,10,Medium
257,93,5,7616.05,2,2,4,8,Medium
258,19,5,4816.4,4,2,2,8,Medium
259,28,4,5329.9400000000005,4,1,3,8,Medium
260,9,9,8587.0,5,5,4,14,High
261,51,9,9137.67,3,5,5,13,High
262,11,5,4597.37,5,2,2,9,Medium
263,47,7,7902.84,3,4,4,11,Medium
264,131,4,2790.3,1,1,1,3,Low
265,80,4,4809.14,2,1,2,5,Low
266,33,4,4191.43,4,1,2,7,Low
267,131,4,5029.25,1,1,2,4,Low
268,70,4,5104.56,2,1,2,5,Low
269,169,5,5215.37,1,2,2,5,Low
270,8,7,7413.610000000001,5,4,4,13,High
271,203,2,2293.0200000000004,1,1,1,3,Low
272,92,7,7345.17,2,4,4,10,Medium
273,29,10,11372.24,4,5,5,14,High
274,150,4,2597.6800000000003,1,1,1,3,Low
275,133,7,8902.17,1,4,5,10,Medium
276,4,6,6112.08,5,3,3,11,Medium
277,22,4,4539.22,4,1,2,7,Low
278,249,1,1228.07,1,1,1,3,Low
279,15,6,3817.17,5,3,2,10,Medium
280,44,11,12587.58,3,5,5,13,High
281,10,4,3537.46,5,1,1,7,Low
282,70,2,2565.84,2,1,1,4,Low
283,92,6,8380.59,2,3,4,9,Medium
284,134,5,5874.839999999999,1,2,3,6,Low
285,8,6,6725.29,5,3,4,12,High
286,156,3,4424.7,1,1,2,4,Low
288,45,4,3936.5699999999997,3,1,2,6,Low
289,45,10,11383.07,3,5,5,13,High
290,12,5,5912.93,5,2,3,10,Medium
291,41,2,983.55,3,1,1,5,Low
292,59,7,8825.97,3,4,5,12,High
293,11,5,5175.56,5,2,2,9,Medium
294,116,7,8719.14,1,4,5,10,Medium
295,35,7,5956.46,3,4,3,10,Medium
296,9,3,4016.36,5,1,2,8,Medium
297,9,4,5674.71,5,1,3,9,Medium
298,9,11,12420.52,5,5,5,15,High
299,93,7,10296.12,2,4,5,11,Medium
300,157,5,7003.74,1,2,4,7,Low
301,94,2,361.78,2,1,1,4,Low
302,277,2,2024.93,1,1,1,3,Low
303,44,3,3874.1800000000003,3,1,2,6,Low
304,81,9,7284.7,2,5,4,11,Medium
305,34,7,6385.26,3,4,3,10,Medium
306,124,2,1362.46,1,1,1,3,Low
307,16,8,8042.1900000000005,4,5,4,13,High
308,26,6,7432.02,4,3,4,11,Medium
309,10,4,5475.93,5,1,3,9,Medium
310,9,7,9065.04,5,4,5,14,High
311,62,6,7559.06,2,3,4,9,Medium
312,14,6,7564.12,5,3,4,12,High
313,18,6,8979.0,4,3,5,12,High
314,21,8,6264.7300000000005,4,5,3,12,High
315,28,9,7677.51,4,5,4,13,High
316,12,4,3813.84,5,1,2,8,Medium
317,52,5,6692.47,3,2,3,8,Medium
318,10,7,9276.07,5,4,5,14,High
319,72,5,7051.54,2,2,4,8,Medium
320,13,10,11721.06,5,5,5,15,High
321,13,5,5405.99,5,2,3,10,Medium
322,2,12,14782.23,5,5,5,15,High
323,36,6,4992.110000000001,3,3,2,8,Medium
324,22,5,2711.14,4,2,1,7,Low
325,134,7,9377.09,1,4,5,10,Medium
326,162,3,3419.08,1,1,1,3,Low
327,17,5,6108.21,4,2,3,9,Medium
328,5,8,5739.53,5,5,3,13,High
329,35,6,5425.24,3,3,3,9,Medium
330,108,6,8513.2,1,3,4,8,Medium
331,83,7,8593.36,2,4,4,10,Medium
332,264,2,1362.46,1,1,1,3,Low
333,23,7,6422.91,4,4,3,11,Medium
334,57,6,6125.9,3,3,3,9,Medium
335,25,2,2234.34,4,1,1,6,Low
336,83,5,3711.9500000000003,2,2,1,5,Low
337,38,6,5855.57,3,3,3,9,Medium
338,11,7,8578.51,5,4,4,13,High
339,59,5,6459.18,3,2,3,8,Medium
340,31,8,8079.91,4,5,4,13,High
341,135,2,3532.9399999999996,1,1,1,3,Low
342,94,4,2455.7599999999998,2,1,1,4,Low
343,134,8,9085.16,1,5,5,11,Medium
344,9,9,11386.87,5,5,5,15,High
345,20,7,7446.139999999999,4,4,4,12,High
346,13,9,8874.36,5,5,5,15,High
347,60,7,12360.26,2,4,5,11,Medium
348,126,6,5562.58,1,3,3,7,Low
349,167,5,4619.93,1,2,2,5,Low
350,5,6,4728.13,5,3,2,10,Medium
351,12,2,2832.11,5,1,1,7,Low
352,26,6,8533.27,4,3,4,11,Medium
353,24,11,13721.09,4,5,5,14,High
354,68,6,5392.11,2,3,3,8,Medium
355,46,5,4674.02,3,2,2,7,Low
356,62,5,5765.9,2,2,3,7,Low
357,16,8,8779.220000000001,4,5,5,14,High
358,71,2,2129.82,2,1,1,4,Low
359,9,10,8564.63,5,5,4,14,High
360,9,5,6069.39,5,2,3,10,Medium
361,147,7,6592.67,1,4,3,8,Medium
362,1,5,3486.48,5,2,1,8,Medium
363,15,6,11621.14,5,3,5,13,High
364,12,6,6791.39,5,3,4,12,High
365,51,7,8188.29,3,4,4,11,Medium
366,116,6,5867.110000000001,1,3,3,7,Low
367,44,6,7014.01,3,3,4,10,Medium
368,14,9,9300.06,5,5,5,15,High
369,102,8,9536.35,1,5,5,11,Medium
370,112,7,7633.95,1,4,4,9,Medium
371,10,5,6859.8,5,2,4,11,Medium
372,32,8,6870.42,4,5,4,13,High
373,224,1,1466.68,1,1,1,3,Low
374,14,6,7756.64,5,3,4,12,High
375,92,4,3460.33,2,1,1,4,Low
376,44,3,1981.8899999999999,3,1,1,5,Low
377,7,13,11607.86,5,5,5,15,High
378,125,7,5827.91,1,4,3,8,Medium
379,146,2,2849.83,1,1,1,3,Low
380,36,8,10261.59,3,5,5,13,High
381,3,8,8019.8,5,5,4,14,High
382,36,7,6536.92,3,4,3,10,Medium
383,52,3,3922.8999999999996,3,1,2,6,Low
384,86,5,5068.24,2,2,2,6,Low
385,79,9,10758.23,2,5,5,12,High
386,67,5,5445.4400000000005,2,2,3,7,Low
387,32,3,5303.1,4,1,3,8,Medium
388,56,3,2857.55,3,1,1,5,Low
389,114,6,3948.4300000000003,1,3,2,6,Low
390,77,5,3465.8599999999997,2,2,1,5,Low
391,57,4,3132.87,3,1,1,5,Low
392,102,7,8157.6,1,4,4,9,Medium
393,147,2,2728.3599999999997,1,1,1,3,Low
394,46,8,7818.74,3,5,4,12,High
395,31,7,7802.49,4,4,4,12,High
396,30,6,6560.6900000000005,4,3,3,10,Medium
397,46,6,4641.1,3,3,2,8,Medium
398,13,7,4446.48,5,4,2,11,Medium
399,94,5,6823.9,2,2,4,8,Medium
400,135,5,4266.01,1,2,2,5,Low
401,30,7,7478.68,4,4,4,12,High
402,57,6,8148.22,3,3,4,10,Medium
403,57,6,6122.63,3,3,3,9,Medium
404,19,9,9330.26,4,5,5,14,High
405,15,6,7468.88,5,3,4,12,High
406,107,6,5892.509999999999,1,3,3,7,Low
407,10,9,7837.83,5,5,4,14,High
408,18,5,5252.97,4,2,3,9,Medium
409,14,4,3610.11,5,1,1,7,Low
410,7,7,5472.9,5,4,3,12,High
411,188,5,5130.24,1,2,2,5,Low
412,28,3,3041.12,4,1,1,6,Low
413,168,5,5306.63,1,2,3,6,Low
414,48,6,4770.45,3,3,2,8,Medium
415,249,2,3670.0,1,1,1,3,Low
416,89,4,3114.4700000000003,2,1,1,4,Low
417,71,8,9905.65,2,5,5,12,High
418,29,6,6298.139999999999,4,3,3,10,Medium
419,15,7,7917.43,5,4,4,13,High
420,60,10,11080.54,2,5,5,12,High
421,57,6,7222.93,3,3,4,10,Medium
422,134,4,5465.0,1,1,3,5,Low
423,142,5,5058.62,1,2,2,5,Low
424,75,6,7857.62,2,3,4,9,Medium
425,26,7,10925.23,4,4,5,13,High
426,60,9,10506.86,2,5,5,12,High
427,110,4,4678.55,1,1,2,4,Low
428,52,8,9009.45,3,5,5,13,High
429,19,7,6737.38,4,4,4,12,High
430,66,6,7494.51,2,3,4,9,Medium
431,99,2,3232.46,2,1,1,4,Low
432,22,8,9237.06,4,5,5,14,High
433,16,8,8961.9,4,5,5,14,High
434,298,2,1945.46,1,1,1,3,Low
435,103,4,5669.1,1,1,3,5,Low
436,51,3,3374.59,3,1,1,5,Low
437,49,6,5595.76,3,3,3,9,Medium
438,52,8,12777.29,3,5,5,13,High
439,100,6,6584.91,2,3,3,8,Medium
440,12,8,7773.05,5,5,4,14,High
441,63,3,2910.7200000000003,2,1,1,4,Low
442,14,7,5714.68,5,4,3,12,High
443,5,7,7525.93,5,4,4,13,High
444,46,7,7147.11,3,4,4,11,Medium
445,25,11,14593.220000000001,4,5,5,14,High
446,53,8,10683.11,3,5,5,13,High
447,1,6,6502.92,5,3,3,11,Medium
448,189,5,6085.0599999999995,1,2,3,6,Low
449,134,6,6240.950000000001,1,3,3,7,Low
450,83,3,3813.9700000000003,2,1,2,5,Low
451,67,6,5925.52,2,3,3,8,Medium
452,25,5,3872.4300000000003,4,2,2,8,Medium
453,42,8,6220.21,3,5,3,11,Medium
454,50,7,9662.82,3,4,5,12,High
455,68,3,4076.17,2,1,2,5,Low
456,89,5,6261.639999999999,2,2,3,7,Low
457,116,5,6553.5199999999995,1,2,3,6,Low
458,27,5,3615.63,4,2,1,7,Low
459,39,5,6449.13,3,2,3,8,Medium
460,18,4,5012.97,4,1,2,7,Low
461,21,8,10366.86,4,5,5,14,High
462,143,6,7830.79,1,3,4,8,Medium
463,68,6,6617.91,2,3,3,8,Medium
464,10,6,8289.86,5,3,4,12,High
465,5,6,4766.91,5,3,2,10,Medium
466,41,7,6597.52,3,4,3,10,Medium
467,170,7,9085.53,1,4,5,10,Medium
468,95,6,7264.86,2,3,4,9,Medium
469,102,10,7566.66,1,5,4,10,Medium
470,10,7,7158.48,5,4,4,13,High
471,49,6,6243.62,3,3,3,9,Medium
472,50,5,5989.66,3,2,3,8,Medium
473,116,9,12033.62,1,5,5,11,Medium
474,98,2,2107.8199999999997,2,1,1,4,Low
475,25,7,5131.25,4,4,2,10,Medium
476,10,4,4416.9,5,1,2,8,Medium
477,36,5,5899.43,3,2,3,8,Medium
478,4,9,8880.93,5,5,5,15,High
479,77,9,8781.24,2,5,5,12,High
480,18,2,3179.31,4,1,1,6,Low
481,15,2,2156.44,5,1,1,7,Low
482,76,10,11870.130000000001,2,5,5,12,High
483,41,7,8372.11,3,4,4,11,Medium
484,20,4,5277.37,4,1,3,8,Medium
485,15,6,5662.3099999999995,5,3,3,11,Medium
486,92,5,7323.58,2,2,4,8,Medium
487,140,2,1875.15,1,1,1,3,Low
488,28,6,4216.79,4,3,2,9,Medium
489,125,5,5450.6900000000005,1,2,3,6,Low
490,54,9,9886.75,3,5,5,13,High
491,69,7,6140.67,2,4,3,9,Medium
492,90,4,5248.15,2,1,2,5,Low
493,76,3,607.78,2,1,1,4,Low
494,134,2,2288.8999999999996,1,1,1,3,Low
495,129,6,6120.139999999999,1,3,3,7,Low
496,46,4,3612.19,3,1,1,5,Low
497,60,4,2772.15,2,1,1,4,Low
498,8,7,9834.95,5,4,5,14,High
499,56,11,8960.43,3,5,5,13,High
500,25,8,9381.92,4,5,5,14,High
501,129,4,3118.51,1,1,1,3,Low
502,132,5,4852.31,1,2,2,5,Low
503,84,4,3993.05,2,1,2,5,Low
504,137,8,7145.67,1,5,4,10,Medium
505,15,5,6456.41,5,2,3,10,Medium
506,57,10,14208.25,3,5,5,13,High
507,37,8,9146.18,3,5,5,13,High
508,156,6,7648.2,1,3,4,8,Medium
509,90,6,6017.45,2,3,3,8,Medium
510,60,2,3333.38,2,1,1,4,Low
511,12,4,2708.2999999999997,5,1,1,7,Low
512,96,4,4233.95,2,1,2,5,Low
513,15,5,5958.04,5,2,3,10,Medium
514,124,5,7401.06,1,2,4,7,Low
515,15,9,12264.8,5,5,5,15,High
516,20,10,9021.7,4,5,5,14,High
517,11,6,5083.11,5,3,2,10,Medium
518,262,3,3288.99,1,1,1,3,Low
519,56,4,4470.85,3,1,2,6,Low
520,17,5,2566.04,4,2,1,7,Low
521,155,2,1849.5700000000002,1,1,1,3,Low
522,42,4,3520.19,3,1,1,5,Low
523,19,6,6485.21,4,3,3,10,Medium
524,139,7,6400.86,1,4,3,8,Medium
525,120,8,10372.68,1,5,5,11,Medium
526,155,3,2674.66,1,1,1,3,Low
527,44,2,2476.84,3,1,1,5,Low
528,135,6,7636.76,1,3,4,8,Medium
529,13,6,6036.22,5,3,3,11,Medium
530,163,3,2816.79,1,1,1,3,Low
531,62,6,5691.58,2,3,3,8,Medium
532,29,6,7503.2699999999995,4,3,4,11,Medium
533,3,6,8210.1,5,3,4,12,High
534,7,8,8223.81,5,5,4,14,High
535,74,2,1679.29,2,1,1,4,Low
536,33,4,4912.82,4,1,2,7,Low
537,50,3,2906.29,3,1,1,5,Low
538,5,6,7716.14,5,3,4,12,High
539,37,8,7188.39,3,5,4,12,High
540,80,6,4419.63,2,3,2,7,Low
541,138,5,6244.03,1,2,3,6,Low
542,39,6,6399.45,3,3,3,9,Medium
543,1,5,4605.8,5,2,2,9,Medium
544,174,4,4228.66,1,1,2,4,Low
545,7,6,8697.36,5,3,5,13,High
546,38,5,7164.9,3,2,4,9,Medium
547,75,6,5913.53,2,3,3,8,Medium
548,11,7,7497.25,5,4,4,13,High
549,41,8,7971.78,3,5,4,12,High
550,15,5,4546.57,5,2,2,9,Medium
551,153,4,3722.38,1,1,1,3,Low
552,160,4,2960.2700000000004,1,1,1,3,Low
553,20,6,6913.18,4,3,4,11,Medium
554,39,3,2306.3799999999997,3,1,1,5,Low
555,166,4,5261.73,1,1,3,5,Low
556,10,5,6960.33,5,2,4,11,Medium
557,182,2,1834.45,1,1,1,3,Low
558,36,7,6984.320000000001,3,4,4,11,Medium
559,7,4,4129.68,5,1,2,8,Medium
560,42,6,7033.26,3,3,4,10,Medium
561,29,6,5776.22,4,3,3,10,Medium
562,37,5,3686.94,3,2,1,6,Low
563,34,7,5492.75,3,4,3,10,Medium
564,12,6,7415.54,5,3,4,12,High
565,105,10,12454.34,1,5,5,11,Medium
566,53,3,2893.23,3,1,1,5,Low
567,61,4,1621.62,2,1,1,4,Low
568,92,7,5025.95,2,4,2,8,Medium
569,99,4,7560.33,2,1,4,7,Low
570,36,6,6987.99,3,3,4,10,Medium
571,73,3,3718.5299999999997,2,1,1,4,Low
572,14,6,5372.65,5,3,3,11,Medium
573,106,2,2449.81,1,1,1,3,Low
574,278,4,4757.79,1,1,2,4,Low
575,249,2,1998.31,1,1,1,3,Low
576,8,6,9475.42,5,3,5,13,High
577,3,11,10515.0,5,5,5,15,High
578,200,7,6301.1,1,4,3,8,Medium
579,53,9,10450.34,3,5,5,13,High
580,25,5,4456.28,4,2,2,8,Medium
581,54,4,5597.1900000000005,3,1,3,7,Low
582,150,4,4163.0599999999995,1,1,2,4,Low
583,32,4,4129.98,4,2,2,8,Medium
584,133,4,3399.5199999999995,1,2,1,4,Low
585,98,7,8197.14,2,4,4,10,Medium
586,91,4,5603.92,2,2,3,7,Low
587,54,7,8623.87,3,4,4,11,Medium
588,20,5,6053.33,4,2,3,9,Medium
589,11,3,3259.93,5,1,1,7,Low
590,44,12,14475.62,3,5,5,13,High
591,222,2,1083.8,1,1,1,3,Low
592,200,4,3192.94,1,2,1,4,Low
593,2,6,5682.77,5,3,3,11,Medium
594,34,9,11996.12,3,5,5,13,High
595,185,3,3268.42,1,1,1,3,Low
596,86,3,4864.71,2,1,2,5,Low
597,62,5,4299.400000000001,2,2,2,6,Low
598,132,7,5976.1900000000005,1,4,3,8,Medium
599,116,5,7250.75,1,2,4,7,Low
600,207,3,3893.54,1,1,2,4,Low
601,59,5,5216.139999999999,3,2,2,7,Low
602,78,5,5591.28,2,2,3,7,Low
603,50,7,8284.07,3,4,4,11,Medium
604,70,6,8162.76,2,3,4,9,Medium
605,3,8,9180.130000000001,5,5,5,15,High
606,56,6,6229.09,3,3,3,9,Medium
607,59,9,11867.92,3,5,5,13,High
608,86,8,9260.29,2,5,5,12,High
609,37,4,3937.44,3,2,2,7,Low
610,47,9,8135.95,3,5,4,12,High
611,4,8,10622.380000000001,5,5,5,15,High
612,88,4,3497.09,2,2,1,5,Low
613,4,6,5898.85,5,3,3,11,Medium
614,19,9,8557.0,4,5,4,13,High
615,43,4,6230.81,3,2,3,8,Medium
